Date,Open,Close,Volume,Date_2
1972-06-01,0.0,4.046875,456000,1972-06-01
1972-06-02,4.054688,4.09375,640000,1972-06-02
1972-06-03,4.054688,4.09375,640000,1972-06-03
1972-06-04,4.054688,4.09375,640000,1972-06-04
1972-06-05,4.085938,4.039063,464000,1972-06-05
1972-06-06,4.039063,4.0,796800,1972-06-06
1972-06-07,4.0,4.046875,584000,1972-06-07
1972-06-08,4.046875,4.0,726400,1972-06-08
1972-06-09,4.007813,4.046875,296000,1972-06-09
1972-06-10,4.007813,4.046875,296000,1972-06-10
1972-06-11,4.007813,4.046875,296000,1972-06-11
1972-06-12,4.046875,4.039063,473600,1972-06-12
1972-06-13,4.046875,4.078125,478400,1972-06-13
1972-06-14,4.09375,4.164063,795200,1972-06-14
1972-06-15,4.1875,4.1875,836800,1972-06-15
1972-06-16,4.1875,4.140625,267200,1972-06-16
1972-06-17,4.1875,4.140625,267200,1972-06-17
1972-06-18,4.1875,4.140625,267200,1972-06-18
1972-06-19,4.140625,4.109375,1001600,1972-06-19
1972-06-20,4.125,4.164063,345600,1972-06-20
1972-06-21,4.164063,4.125,556800,1972-06-21
1972-06-22,4.125,4.15625,321600,1972-06-22
1972-06-23,4.15625,4.171875,212800,1972-06-23
1972-06-24,4.15625,4.171875,212800,1972-06-24
1972-06-25,4.15625,4.171875,212800,1972-06-25
1972-06-26,4.171875,4.21875,278400,1972-06-26
1972-06-27,4.21875,4.195313,268800,1972-06-27
1972-06-28,4.179688,4.125,433600,1972-06-28
1972-06-29,4.125,4.101563,313600,1972-06-29
1972-06-30,4.109375,4.15625,404800,1972-06-30
1972-07-01,4.109375,4.15625,404800,1972-07-01
1972-07-02,4.109375,4.15625,404800,1972-07-02
1972-07-03,4.15625,4.203125,240000,1972-07-03
1972-07-05,4.234375,4.25,734400,1972-07-05
1972-07-06,4.304688,4.328125,809600,1972-07-06
1972-07-07,4.335938,4.429688,595200,1972-07-07
1972-07-08,4.335938,4.429688,595200,1972-07-08
1972-07-09,4.335938,4.429688,595200,1972-07-09
1972-07-10,4.429688,4.382813,316800,1972-07-10
1972-07-11,4.382813,4.398438,232000,1972-07-11
1972-07-12,4.40625,4.4375,1132800,1972-07-12
1972-07-13,4.4375,4.4375,790400,1972-07-13
1972-07-14,4.445313,4.515625,950400,1972-07-14
1972-07-15,4.445313,4.515625,950400,1972-07-15
1972-07-16,4.445313,4.515625,950400,1972-07-16
1972-07-17,4.515625,4.4375,187200,1972-07-17
1972-07-18,4.414063,4.40625,385600,1972-07-18
1972-07-19,4.40625,4.453125,636800,1972-07-19
1972-07-20,4.453125,4.5,326400,1972-07-20
1972-07-21,4.515625,4.570313,340800,1972-07-21
1972-07-22,4.515625,4.570313,340800,1972-07-22
1972-07-23,4.515625,4.570313,340800,1972-07-23
1972-07-24,4.570313,4.648438,811200,1972-07-24
1972-07-25,4.648438,4.609375,312000,1972-07-25
1972-07-26,4.6875,4.726563,816000,1972-07-26
1972-07-27,4.726563,4.726563,422400,1972-07-27
1972-07-28,4.726563,4.71875,208000,1972-07-28
1972-07-29,4.726563,4.71875,208000,1972-07-29
1972-07-30,4.726563,4.71875,208000,1972-07-30
1972-07-31,4.703125,4.664063,174400,1972-07-31
1972-08-01,4.664063,4.71875,368000,1972-08-01
1972-08-02,4.71875,4.703125,384000,1972-08-02
1972-08-03,4.703125,4.71875,355200,1972-08-03
1972-08-04,4.71875,4.6875,193600,1972-08-04
1972-08-05,4.71875,4.6875,193600,1972-08-05
1972-08-06,4.71875,4.6875,193600,1972-08-06
1972-08-07,4.6875,4.6875,204800,1972-08-07
1972-08-08,4.6875,4.703125,243200,1972-08-08
1972-08-09,4.703125,4.6875,126400,1972-08-09
1972-08-10,4.695313,4.710938,184000,1972-08-10
1972-08-11,4.710938,4.71875,180800,1972-08-11
1972-08-12,4.710938,4.71875,180800,1972-08-12
1972-08-13,4.710938,4.71875,180800,1972-08-13
1972-08-14,4.734375,4.804688,308800,1972-08-14
1972-08-15,4.804688,4.734375,420800,1972-08-15
1972-08-16,4.71875,4.664063,268800,1972-08-16
1972-08-17,4.664063,4.648438,348800,1972-08-17
1972-08-18,4.664063,4.726563,185600,1972-08-18
1972-08-19,4.664063,4.726563,185600,1972-08-19
1972-08-20,4.664063,4.726563,185600,1972-08-20
1972-08-21,4.765625,4.828125,316800,1972-08-21
1972-08-22,4.828125,4.851563,580800,1972-08-22
1972-08-23,4.84375,4.8125,353600,1972-08-23
1972-08-24,4.8125,4.757813,179200,1972-08-24
1972-08-25,4.734375,4.664063,371200,1972-08-25
1972-08-26,4.734375,4.664063,371200,1972-08-26
1972-08-27,4.734375,4.664063,371200,1972-08-27
1972-08-28,4.664063,4.648438,177600,1972-08-28
1972-08-29,4.648438,4.6875,238400,1972-08-29
1972-08-30,4.6875,4.671875,177600,1972-08-30
1972-08-31,4.671875,4.671875,137600,1972-08-31
1972-09-01,4.679688,4.6875,163200,1972-09-01
1972-09-02,4.679688,4.6875,163200,1972-09-02
1972-09-03,4.679688,4.6875,163200,1972-09-03
1972-09-05,4.6875,4.65625,124800,1972-09-05
1972-09-06,4.65625,4.632813,228800,1972-09-06
1972-09-07,4.632813,4.640625,356800,1972-09-07
1972-09-08,4.640625,4.59375,160000,1972-09-08
1972-09-09,4.640625,4.59375,160000,1972-09-09
1972-09-10,4.640625,4.59375,160000,1972-09-10
1972-09-11,4.59375,4.523438,104000,1972-09-11
1972-09-12,4.523438,4.453125,291200,1972-09-12
1972-09-13,4.453125,4.421875,499200,1972-09-13
1972-09-14,4.4375,4.53125,331200,1972-09-14
1972-09-15,4.53125,4.507813,102400,1972-09-15
1972-09-16,4.53125,4.507813,102400,1972-09-16
1972-09-17,4.53125,4.507813,102400,1972-09-17
1972-09-18,4.507813,4.492188,273600,1972-09-18
1972-09-19,4.515625,4.554688,288000,1972-09-19
1972-09-20,4.554688,4.554688,260800,1972-09-20
1972-09-21,4.554688,4.507813,132800,1972-09-21
1972-09-22,4.507813,4.5,51200,1972-09-22
1972-09-23,4.507813,4.5,51200,1972-09-23
1972-09-24,4.507813,4.5,51200,1972-09-24
1972-09-25,4.5,4.484375,198400,1972-09-25
1972-09-26,4.484375,4.46875,369600,1972-09-26
1972-09-27,4.476563,4.476563,129600,1972-09-27
