Date,Open,Close,Volume,Date_2
1999-01-22,0.4375,0.410156,271468800,1999-01-22
1999-01-23,0.4375,0.410156,271468800,1999-01-23
1999-01-24,0.4375,0.410156,271468800,1999-01-24
1999-01-25,0.442708,0.453125,51048000,1999-01-25
1999-01-26,0.458333,0.417969,34320000,1999-01-26
1999-01-27,0.419271,0.416667,24436800,1999-01-27
1999-01-28,0.416667,0.415365,22752000,1999-01-28
1999-01-29,0.415365,0.395833,24403200,1999-01-29
1999-01-30,0.415365,0.395833,24403200,1999-01-30
1999-01-31,0.415365,0.395833,24403200,1999-01-31
1999-02-01,0.395833,0.403646,15470400,1999-02-01
1999-02-02,0.395833,0.372396,26409600,1999-02-02
1999-02-03,0.367188,0.380208,7512000,1999-02-03
1999-02-04,0.385417,0.401042,18192000,1999-02-04
1999-02-05,0.407552,0.41276,13684800,1999-02-05
1999-02-06,0.407552,0.41276,13684800,1999-02-06
1999-02-07,0.407552,0.41276,13684800,1999-02-07
1999-02-08,0.415365,0.398438,15408000,1999-02-08
1999-02-09,0.40625,0.382813,8697600,1999-02-09
1999-02-10,0.382813,0.378906,14822400,1999-02-10
1999-02-11,0.380208,0.411458,13224000,1999-02-11
1999-02-12,0.416667,0.434896,10972800,1999-02-12
1999-02-13,0.416667,0.434896,10972800,1999-02-13
1999-02-14,0.416667,0.434896,10972800,1999-02-14
1999-02-16,0.442708,0.4375,21100800,1999-02-16
1999-02-17,0.427083,0.414063,6772800,1999-02-17
1999-02-18,0.427083,0.420573,7070400,1999-02-18
1999-02-19,0.416667,0.434896,7536000,1999-02-19
1999-02-20,0.416667,0.434896,7536000,1999-02-20
1999-02-21,0.416667,0.434896,7536000,1999-02-21
1999-02-22,0.442708,0.4375,20524800,1999-02-22
1999-02-23,0.447917,0.458333,13809600,1999-02-23
1999-02-24,0.526042,0.494792,61276800,1999-02-24
1999-02-25,0.515625,0.479167,14913600,1999-02-25
1999-02-26,0.484375,0.457031,17260800,1999-02-26
1999-02-27,0.484375,0.457031,17260800,1999-02-27
1999-02-28,0.484375,0.457031,17260800,1999-02-28
1999-03-01,0.46875,0.459635,9216000,1999-03-01
1999-03-02,0.458333,0.455729,5524800,1999-03-02
1999-03-03,0.458333,0.424479,6139200,1999-03-03
1999-03-04,0.445313,0.415365,5736000,1999-03-04
1999-03-05,0.419271,0.438802,7876800,1999-03-05
1999-03-06,0.419271,0.438802,7876800,1999-03-06
1999-03-07,0.419271,0.438802,7876800,1999-03-07
1999-03-08,0.427083,0.445313,7588800,1999-03-08
1999-03-09,0.44401,0.459635,14318400,1999-03-09
1999-03-10,0.466146,0.451823,23534400,1999-03-10
1999-03-11,0.44401,0.432292,5428800,1999-03-11
1999-03-12,0.434896,0.424479,9076800,1999-03-12
1999-03-13,0.434896,0.424479,9076800,1999-03-13
1999-03-14,0.434896,0.424479,9076800,1999-03-14
1999-03-15,0.434896,0.442708,10881600,1999-03-15
1999-03-16,0.445313,0.428385,7915200,1999-03-16
1999-03-17,0.432292,0.43099,5136000,1999-03-17
1999-03-18,0.432292,0.436198,4632000,1999-03-18
1999-03-19,0.434896,0.4375,10531200,1999-03-19
1999-03-20,0.434896,0.4375,10531200,1999-03-20
1999-03-21,0.434896,0.4375,10531200,1999-03-21
1999-03-22,0.446615,0.424479,3667200,1999-03-22
1999-03-23,0.427083,0.398438,16396800,1999-03-23
1999-03-24,0.395833,0.395833,6086400,1999-03-24
1999-03-25,0.394531,0.401042,4032000,1999-03-25
1999-03-26,0.40625,0.436198,8827200,1999-03-26
1999-03-27,0.40625,0.436198,8827200,1999-03-27
1999-03-28,0.40625,0.436198,8827200,1999-03-28
1999-03-29,0.449219,0.449219,6595200,1999-03-29
1999-03-30,0.450521,0.411458,6950400,1999-03-30
1999-03-31,0.424479,0.440104,15360000,1999-03-31
1999-04-01,0.440104,0.427083,3043200,1999-04-01
1999-04-05,0.421875,0.414063,9864000,1999-04-05
1999-04-06,0.417969,0.403646,6969600,1999-04-06
1999-04-07,0.40625,0.4375,8928000,1999-04-07
1999-04-08,0.440104,0.445313,13012800,1999-04-08
1999-04-09,0.447917,0.4375,4862400,1999-04-09
1999-04-10,0.447917,0.4375,4862400,1999-04-10
1999-04-11,0.447917,0.4375,4862400,1999-04-11
1999-04-12,0.432292,0.419271,3331200,1999-04-12
1999-04-13,0.427083,0.402344,3614400,1999-04-13
1999-04-14,0.401042,0.390625,4828800,1999-04-14
1999-04-15,0.401042,0.401042,3585600,1999-04-15
1999-04-16,0.398438,0.414063,3892800,1999-04-16
1999-04-17,0.398438,0.414063,3892800,1999-04-17
1999-04-18,0.398438,0.414063,3892800,1999-04-18
1999-04-19,0.419271,0.395833,3129600,1999-04-19
1999-04-20,0.395833,0.388021,6768000,1999-04-20
1999-04-21,0.388021,0.394531,3748800,1999-04-21
1999-04-22,0.395833,0.377604,22718400,1999-04-22
1999-04-23,0.376302,0.359375,12604800,1999-04-23
1999-04-24,0.376302,0.359375,12604800,1999-04-24
1999-04-25,0.376302,0.359375,12604800,1999-04-25
1999-04-26,0.359375,0.341146,12350400,1999-04-26
1999-04-27,0.348958,0.377604,22694400,1999-04-27
1999-04-28,0.380208,0.375,12009600,1999-04-28
1999-04-29,0.376302,0.375,4814400,1999-04-29
1999-04-30,0.378906,0.380208,9931200,1999-04-30
1999-05-01,0.378906,0.380208,9931200,1999-05-01
1999-05-02,0.378906,0.380208,9931200,1999-05-02
1999-05-03,0.384115,0.382813,3384000,1999-05-03
1999-05-04,0.382813,0.361979,9604800,1999-05-04
1999-05-05,0.364583,0.369792,14457600,1999-05-05
1999-05-06,0.367188,0.36263,3561600,1999-05-06
1999-05-07,0.351563,0.364583,2500800,1999-05-07
1999-05-08,0.351563,0.364583,2500800,1999-05-08
1999-05-09,0.351563,0.364583,2500800,1999-05-09
1999-05-10,0.361979,0.364583,1968000,1999-05-10
1999-05-11,0.380208,0.384115,17174400,1999-05-11
1999-05-12,0.388021,0.395833,16848000,1999-05-12
1999-05-13,0.395833,0.395833,6993600,1999-05-13
1999-05-14,0.395833,0.375,2846400,1999-05-14
1999-05-15,0.395833,0.375,2846400,1999-05-15
1999-05-16,0.395833,0.375,2846400,1999-05-16
1999-05-17,0.369792,0.393229,3576000,1999-05-17
1999-05-18,0.397135,0.411458,15153600,1999-05-18
1999-05-19,0.429688,0.393229,45172800,1999-05-19
1999-05-20,0.395833,0.361979,17817600,1999-05-20
1999-05-21,0.356771,0.354167,30350400,1999-05-21
1999-05-22,0.356771,0.354167,30350400,1999-05-22
1999-05-23,0.356771,0.354167,30350400,1999-05-23
1999-05-24,0.356771,0.352865,16262400,1999-05-24
1999-05-25,0.354167,0.355469,13008000,1999-05-25
1999-05-26,0.354167,0.354167,10473600,1999-05-26
1999-05-27,0.356771,0.351563,8232000,1999-05-27
1999-05-28,0.356771,0.355469,8865600,1999-05-28
1999-05-29,0.356771,0.355469,8865600,1999-05-29
1999-05-30,0.356771,0.355469,8865600,1999-05-30
1999-06-01,0.354167,0.356771,9854400,1999-06-01
1999-06-02,0.356771,0.34375,13012800,1999-06-02
1999-06-03,0.352865,0.352865,4156800,1999-06-03
1999-06-04,0.355469,0.355469,7891200,1999-06-04
1999-06-05,0.355469,0.355469,7891200,1999-06-05
1999-06-06,0.355469,0.355469,7891200,1999-06-06
1999-06-07,0.357422,0.359375,12513600,1999-06-07
1999-06-08,0.360677,0.36849,15331200,1999-06-08
1999-06-09,0.369792,0.375,9518400,1999-06-09
1999-06-10,0.375,0.376302,3609600,1999-06-10
1999-06-11,0.376302,0.36849,6100800,1999-06-11
1999-06-12,0.376302,0.36849,6100800,1999-06-12
1999-06-13,0.376302,0.36849,6100800,1999-06-13
1999-06-14,0.369141,0.354167,5164800,1999-06-14
1999-06-15,0.354167,0.354167,4929600,1999-06-15
1999-06-16,0.359375,0.364583,6441600,1999-06-16
1999-06-17,0.361979,0.354167,7492800,1999-06-17
1999-06-18,0.356771,0.341146,15873600,1999-06-18
1999-06-19,0.356771,0.341146,15873600,1999-06-19
1999-06-20,0.356771,0.341146,15873600,1999-06-20
1999-06-21,0.351563,0.359375,8347200,1999-06-21
